name,year
The Seine at Bougival,1869
The Seine at Le Petit-Gennevilliers,1872
"The Seine at Port Villez, Snow Effect",1885
"The Seine at Port-Villes, Clear Weather",1894
The Seine at Port-Villez,1894
"The Seine at Port-Villez, Blue Effect",1894
"The Seine at Port-Villez, Harmony in Blue",1894
"The Seine at Port-Villez, Mist",1894
"The Seine at Port-Villez, Pink Effect",1894
The Seine at Rouen,1872
The Seine at Rouen,1873
The Seine at Vetheuil,1879
The Seine at Vetheuil,1879
The Seine at Vetheuil,1881
The Seine at Vetheuil,1881
The Seine at Vetheuil (detail),1880
The Seine near Bougival (detail),1872
The Seine near Giverny,1885
The Seine near Giverny,1888
The Seine near Giverny,1897
The Seine near Vernon,1894
"The Seine near Vetheuil, Stormy Weather",1878
The Sheltered Path,1873
"The Small Arm of the Seine at Mosseaux, Evening",1878
The Small Arm of the Seine at Vetheuil,1880
The Steps,1878
The Steps at Vetheuil,1881
The Stroller (Suzanne Hoschede) (also known as Taking a Walk),1887
The Strollers (study for Luncheon on the Grass),1865
The Studio Boat,1874
The Studio Boat,1875–1876
The Studio Boat,1876
The Tea Set,1872
The Thames below Westminster,1871
The Towpath at Granval,1882
The Towpath at Granval,1883
The Tuileries (study),1876
The Tuileries (study),1876
The Valley of Sasso,1884
"The Valley of Sasso, Blue Effect",1884
"The Valley of Sasso, Bordighera",1884
"The Valley of Sasso, Sunshine",1884
The Valley of the Nervia,1884
The Valley of the Nervia with Dolceacqua,1884
The Valley of the Scie at Pouville,1882
"The Village of La Coche-Blond, Evening",1889
"The Village of La Roche-Blond, Sunset",1889
The Village of Lavacourt,1878
The Voorzaan,1871
"The Walk, Argenteuil",1875
"The Walk, Woman with a Parasol",1875
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1919
The Water-Lily Pond,1917–1920
The Water-Lily Pond,1918–1919
The Water-Lily Pond,1918–1919
The Water-Lily Pond,1919
The Water-Lily Pond (also known as Japanese Bridge),1899
The Water-Lily Pond (also known as Japanese Bridge),1900
The Water-Lily Pond (detail),1917–1919
The Water-Lily Pond (detail),1917–1919
The Water-Lily Pond (left side),1917–1919
The Water-Lily Pond (right side),1917–1920
The Water-Lily Pond and Bridge,1905
The Wheat Field,1881
The Willow (also known as Spring on the Epte),1885
"The Windmill on the Onbekende Canal, Amsterdam",1874
The Wooden Bridge,1872
The Zaan at Zaandam,1871
The Zaan at Zaandam,1871
Three Fishing Boats,1885
Three Poplar Trees in the Autumn,1891
"Three Poplar Trees, Autumn Effect",1891
Three Pots of Tulips,1883
Three Trees in Autumn,1891
Three Trees in Grey Weather,1891
Three Trees in Spring,1891
Three Trees in Summer,1891
Torrent of the Petite Creuse at Freeselines,1889
Tow Path at Lavacourt,1878
Track Coming out of Saint-Lazare Station,1877
Train in the Country,1870
"Train in the Snow, Argenteuil",1875
"Train in the Snow, the Locomotive",1875
Tree in Flower near Vetheuil,1879
Trees by the Seashore at Antibes,1888
"Trees in Winter, View of Bennecourt",1887
Turkeys,1876
"Twilight, Venice",1908
Two Anglers,1882
"Two Grainstacks at the End of the Day, Autumn",1890
Two Trees in a Meadow,1886
Under the Lemon Trees,1884
Under the Pine Trees at the End of the Day,1888
"Val-Saint-Nicolas, near Dieppe in the Morning",1897
Valle Bouna near Bordighera,1884
"Valley of the Creuse, Afternoon Sunlight",1889
"Valley of the Creuse, Evening Effect",1889
"Valley of the Creuse, Grey Day",1889
"Valley of the Creuse, Grey Sky",1889
"Valley of the Creuse, Sunlight Effect",1889
"Valley of the Creuse, Sunset",1889
"Valley of the Creuse, Sunset",1889
Vase of Dahlias,1883
Vase of Peonies,1882
Vase of Poppies,1883
Vase of Tulips,1885
Vase of Tulips,1885
Vase of Tulips,1885
"Venice, The Doges' Palace Seen from San Giorgio Maggiore",1908
Vernon Church in Grey Weather,1894
Vetheuil at Sunset,1901
Vetheuil in Summer,1880
Vetheuil in the Fog,1879
Vetheuil in Winter,1879
Vetheuil Seen from Ile Saint Martin,1880
"Vetheuil, Afternoon",1901
"Vetheuil, Flowering Plum Trees",1879
"Vetheuil, Pink Effect",1901
Victor Jacquemont Holding a Parasol,1865
View near Rouelles,1858
View of Amsterdam,1874
View of Antibes from the Notre-Dame Plateau,1888
View of Antibes from the Plateau Notre-Dame,1888
View of Argenteuil in the Snow,1875
View of Bordighera,1884
View of Cap d'Antibes (also known as View of the Bay and Maritime Alps at Antibes),1888
View of Rouen,1872
View of Rouen from the Cote Sainte-Catherine,1892
View of the Church at Vernon,1883
View of the Old Outer Harbor at Le Havre,1874
View of the Voorzaan,1871
View of Ventimiglia,1884
View of Vetheuil,1880
View of Vetheuil,1880
View Taken from Greinval,1881
View Taken near Ventimiglia,1884
Villas at Bordighera,1884
Villas in Bordighera,1884
Water Lilies,1906–1907
Water-Lilies,1897–1899
Water-Lilies,1897–1899
Water-Lilies,1897–1899
Water-Lilies,1903
Water-Lilies,1903
Water-Lilies,1904
Water-Lilies,1904
Water-Lilies,1904
Water-Lilies,1904
Water-Lilies,1905
Water-Lilies,1905
Water-Lilies,1905
Water-Lilies,1905
Water-Lilies,1905
Water-Lilies,1906
Water-Lilies,1906
Water-Lilies,1906–1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1907
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1908
Water-Lilies,1914
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1914–1917
Water-Lilies,1916–1919
Water-Lilies,1916–1919
Water-Lilies,1916–1919
Water-Lilies,1916–1919
Water-Lilies,1916–1919
Water-Lilies,1916–1919
Water-Lilies,1917–1919
Water-Lilies,1917–1919
Water-Lilies (detail),1914–1917
Water-Lilies (left half),1917–1920
Water-Lilies (right half),1917–1920
Water-Lilies (right half),1920–1926
Water-Lilies (study),1907–1908
Water-Lilies and Agapanthus,1914–1917
"Water-Lilies, Evening Effect",1897–1899
"Water-Lilies, Reflection of a Weeping Willow",1916–1919
"Water-Lilies, Reflections of Weeping Willows (left half)",1916–1919
"Water-Lilies, Reflections of Weeping Willows (right half)",1916–1919
Water-Lillies Pond (left half),1920–1926
Water-Lily Pond,1897–1899
Water-Lily Pond,1899
Water-Lily Pond at Giverny,1918–1919
Water-Lily Pond with Irises,1920–1926
Water-Lily Pond with Irises (left half),1920–1926
"Water-Lily Pond, Evening (left panel)",1920–1926
"Water-Lily Pond, Evening (right panel)",1920–1926
"Water-Lily Pond, Symphony in Rose",1900
"Water-Lily Pond, Water Irises",1900–1901
Waterlily Pond and Path by the Water,1900
Waterloo Bridge,1899–1901
Waterloo Bridge,1899–1901
Waterloo Bridge,1899–1901
"Waterloo Bridge at Sunset, Pink Effect",1899–1901
Waterloo Bridge in the Fog,1899–1901
"Waterloo Bridge, Dawn",1899–1901
"Waterloo Bridge, Effect of Sun in the Mist",1899–1901
"Waterloo Bridge, Fog Effect",1899–1901
"Waterloo Bridge, Grey Weather",1899–1901
"Waterloo Bridge, Hazy Sun",1899–1901
"Waterloo Bridge, London",1900
"Waterloo Bridge, Misty Morning",1899–1901
"Waterloo Bridge, Misty Weather",1899–1901
"Waterloo Bridge, Overcast Weather",1899–1901
"Waterloo Bridge, Overcast Weather",1899–1901
"Waterloo Bridge, Overcast Weather",1900
"Waterloo Bridge, Sunlight Effect",1899–1901
"Waterloo Bridge, Sunlight Effect",1899–1901
"Waterloo Bridge, Sunlight Effect",1899–1901
"Waterloo Bridge, Sunlight Effect",1899–1901
"Waterloo Bridge, Sunlight in the Fog",1899–1900
Waves and Rocks at Pourville,1882
Waves Breaking,1881
Weeping Willow,1918
Weeping Willow,1918–1919
Weeping Willow,1918–1919
Weeping Willow,1918–1919
Weeping Willow,1918–1919
Weeping Willow,1918–1919
Weeping Willow,1918–1919
Weeping Willow,1921–1922
Weeping Willow and Water-Lily Pond,1916–1919
Weeping Willow and Water-Lily Pond (detail),1916–1919
Weeping Willow and Water-Lily Pond',1916–1919
"Weeping Willow, Giverny",1920–1922
White Azaleas in a Pot,1885
White Frost,1875
White Poppy,1883
Willows at Sunset,1889
Willows in Springtime,1885
Windmill at Zaandam,1871
Windmill near Zaandam,1871
"Windmills at Haaldersbroek, Zaandam",1871
Windmills in Holland,1871
Windmills near Zaandam,1871
Winter at Giverny,1886
Winter Landscape at the Val de Falaise,1885
"Winter on the Seine, Lavacourt",1879–1880
"Winter Sun, Lavacourt",1879–1880
"Winter Sun, Lavacourt",1879–1880
Winteria (right half),1917–1920
Wisteria,1919–1920
Wisteria,1919–1920
Wisteria (left half),1917–1919
Wisteria (left half),1917–1919
Woman Sitting under the Willows,1880
Woman with a Parasol (also known as Study of a Figure Outdoors (Facing Left)),1886
"Woman with a Parasol, Facing Right (also known as Study of a Figure Outdoors (Facing Right))",1886
Women in the Garden,1866
Women in the Garden,1867
Wood Lane,1876
Woodbearers in Fontainebleau Forest,1864
Yachts at Argenteuil,1875
Yellow and Lilac Water-Lilies,1914–1917
Yellow Irises,1914–1917
Yellow Irises,1914–1917
Yellow Irises,1914–1917
Yellow Irises with Pink Cloud,1914–1917
Young Girl in the Garden at Giverny,1888
Young Girls in a Row Boat,1887
Zaandam,1871
Zaandam (detail),1871
